time,latitude,longitude,lon360,depth,depth_km,mag,horizontalError,depthError,magError
2025-08-11T06:37:40.608Z,-16.7618,-174.0509,185.9491,130.154,-130.154,5.1,8.93,5.302,0.024
2025-06-16T06:17:15.454Z,-17.084,-174.0827,185.9173,96.721,-96.721,5,9.58,6.438,0.025
2025-04-18T14:26:55.550Z,-16.0197,-174.8449,185.1551,292.673,-292.673,4.9,10.04,5.555,0.025
2024-11-10T09:43:22.826Z,-20.7394,-178.5362,181.4638,583.497,-583.497,5,12.19,8.3,0.025
2024-10-14T07:40:09.543Z,-17.7588,-179.9029,180.0971,609.232,-609.232,4.9,9.73,8.008,0.025
2025-10-04T18:50:54.303Z,-18.6384,-177.9514,182.0486,531.745,-531.745,4.9,9.12,7.327,0.027
2024-10-29T08:32:45.641Z,-18.1306,-178.2019,181.7981,566.896,-566.896,4.9,8.33,6.004,0.028
2024-10-21T20:25:35.787Z,-17.7732,-178.6631,181.3369,556.614,-556.614,4.7,11.52,6.61,0.028
2025-06-26T23:53:54.769Z,-20.5367,-178.8275,181.1725,624.994,-624.994,4.7,10,6.323,0.028
2025-07-17T14:14:27.573Z,-21.1421,-179.0095,180.9905,638.859,-638.859,4.7,12.45,6.658,0.028
2025-07-15T18:42:43.315Z,-18.0509,-178.4464,181.5536,629.783,-629.783,4.8,11.04,6.221,0.029
2025-03-14T00:11:48.874Z,-17.3339,-179.0324,180.9676,553.909,-553.909,4.7,11.86,4.319,0.029
2025-10-27T11:57:41.686Z,-18.1439,-179.3826,180.6174,647.752,-647.752,4.6,10.66,4.657,0.029
2025-01-27T19:26:05.899Z,-18.6107,-178.0631,181.9369,524.55,-524.55,4.6,12.25,7.247,0.029
2025-06-29T01:56:26.759Z,-16.3223,-173.9493,186.0507,113.303,-113.303,4.8,10.99,6.554,0.03
2025-06-10T23:14:49.950Z,-20.5191,-178.3834,181.6166,549.345,-549.345,4.7,11.28,6.022,0.03
2025-04-09T17:25:14.798Z,-25.8913,-178.9154,181.0846,361.222,-361.222,4.9,10.53,4.072,0.031
2025-03-31T09:42:34.989Z,-22.5179,-179.5027,180.4973,583.791,-583.791,4.8,13.13,6.613,0.031
2025-08-31T07:11:23.178Z,-23.3734,179.0041,179.0041,546.395,-546.395,4.6,12.26,8.892,0.031
2025-03-15T21:56:48.173Z,-13.6407,173.0381,173.0381,633.722,-633.722,4.7,12.18,7.063,0.031
2024-10-28T02:46:26.024Z,-25.9206,179.8,179.8,489.416,-489.416,4.9,9.67,4.138,0.032
2025-06-07T13:20:48.447Z,-29.3889,-179.0368,180.9632,341.612,-341.612,4.9,9.13,3.772,0.032
